127.0.0.1, 2015-09-29 15:34:18, GET, /AplicacaoTeste/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-09-29 15:34:18, GET, /AplicacaoTeste/static/js/share.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-09-29 15:34:18, GET, /AplicacaoTeste/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.000000
127.0.0.1, 2015-09-29 15:34:18, GET, /AplicacaoTeste/static/images/gplus-32.png, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-09-29 15:34:18, GET, /AplicacaoTeste/static/images/facebook.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-09-29 15:34:18, GET, /AplicacaoTeste/static/images/twitter.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-09-29 15:34:18, GET, /AplicacaoTeste/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-09-29 15:34:31, GET, /, HTTP/1.1, 303, 0.003000
127.0.0.1, 2015-09-29 15:34:31, GET, /welcome/default/index, HTTP/1.1, 200, 0.430000
127.0.0.1, 2015-09-29 15:34:35, GET, /admin/default/index, HTTP/1.1, 303, 0.327000
127.0.0.1, 2015-09-29 15:34:36, GET, /admin/default/site, HTTP/1.1, 200, 0.093000
127.0.0.1, 2015-09-29 15:34:36, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2015-09-29 15:34:37, GET, /AplicacaoTeste/default/index, HTTP/1.1, 200, 0.283000
127.0.0.1, 2015-09-29 15:41:14, GET, /, HTTP/1.1, 303, 0.002000
127.0.0.1, 2015-09-29 15:41:14, GET, /welcome/default/index, HTTP/1.1, 200, 0.098000
127.0.0.1, 2015-09-29 15:41:14, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-09-29 15:41:14, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-09-29 15:41:14, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-09-29 15:41:14, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-09-29 15:41:14, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-09-29 15:41:14, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-09-29 15:41:14, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-09-29 15:41:14, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.002000
